AAB	Abelag Aviation - Belgium	ABG
AAC	Army Air Corps - United Kingdom	Armyair
AAD	Arrendamientos Aereos - Panama	Panabear
AAE	Air Atlanta Europe - Malta	Euroviking
AAF	Aigle Azur - France	Aigle Azur
AAH	Aeko Kula, Inc. D/B/A Aloha Air Cargo (Honolulu, HI) - United States	Aloha
AAI	Air Aurora, Inc. (Sugar Grove, IL) - United States	Borealis
AAJ	Alfa Airlines Co., Ltd - Sudan	Alfa Sudan
AAK	Alaska Island Air, Inc. (Anchorage, AK) - United States	Alaska Island
AAL	American Airlines Inc. - United States	American
AAM	Aim Air - Republic of Moldova	Aim Air
AAP	Arabasco Air Services - Saudi Arabia	Arabasco
AAQ	Asia Atlantic Airlines Co., Ltd - Thailand	Asia Atlantic
AAR	Asiana Airlines - Republic of Korea	Asiana
AAS	Askari Aviation (Pvt) Ltd - Pakistan	Al-Aas
AAV	Astro Air International, Inc. - Philippines	Astro-Phil
AAW	African Airlines Corporation - Libya	Afriqiyah
AAX	Advance Aviation Co., Ltd - Thailand	Advance Aviation
AAY	Allegiant Air, Inc. (Fresno, CA) - United States	Allegiant
AAZ	Aeolus Air Limited - Gambia	Aeolus
ABA	Aero-Beta GmbH & Co., Stuttgart - Germany	Aerobeta
ABB	Air Belgium SA - Belgium	Air Belgium
ABD	Air Atlanta Icelandic - Iceland	Atlanta
ABE	Aban Air - Iran (Islamic Republic of)	Aban
ABF	Scanwings Oy - Finland	Skywings
ABG	Royal Flight Airlines, CJSC - Russian Federation	Royal Flight
ABI	Alba-Air Aviacion, S.L. - Spain	Airalbacete
ABJ	ATA - Aerotaxi Abaete Ltda - Brazil	Abaete
ABK	Airbus Canada - Canada	Airbus Canuck
ABL	Air Busan - Republic of Korea	Air Busan
ABM	Aero Albatros - Spain	Albatros Espana
ABN	Air Albania - Albania	Air Albania
ABO	Aeroexpreso Bogota - Colombia	Aeroexpreso
ABP	ABS Jets - Czech Republic	Bair
ABQ	Airblue Limited, M/S. - Pakistan	Pakblue
ABR	ASL Airlines (Ireland) Limited - Ireland	Contract
ABT	Air Taxi Benin - Benin	Benways
ABV	ASL Airlines UK - United Kingdom	Cargoblue
ABW	Airbridge Cargo Airlines Ltd - Russian Federation	Airbridge Cargo
ABX	ABX Air, Inc. (Wilmington, OH) - United States	Abex
ABY	Air Arabia - United Arab Emirates	Arabia
ABZ	Air Ambulance Services Limited - Bahamas	Island Lifeflight
ACA	Air Canada - Canada	Air Canada
ACB	Air Continental Africa - Gabon	Airconti
ACD	Academy Airlines (Griffin, GA) - United States	Academy
ACE	Aviation Aces - United States	Sky Ace
ACF	Centro de Formacion Aeronautica de Canarias - Spain	Forcan
ACI	Air Caledonie International - France	Aircalin
ACJ	AC Aviation Co., Ltd - Thailand	Sinojet
ACK	Nantucket Airlines (Nantucket, MA) - United States	Ack Air
ACL	Aercaribe, S.A. - Colombia	Admire
ACO	Air Choice One (St. Louis, MO) - United States	Weber
ACP	Astral Aviation Limited - Kenya	Astral Cargo
ACQ	Aryan Cargo Express - India	Ace Cargo
ACR	Aerocenter, Escuela de Formacion de Pilotos Privados de Avion - Spain	Aerocenter
ACS	Aircraft Sales and Services (Pvt) Ltd - Pakistan	Aircraft Sales
ACT	Flight Line, Inc. (Denver, CO) - United States	American Check
ACU	Air Cargo Transportation System Limited - Kenya	Afrispirit
ACV	Air Carnival Pvt. Limited (Coimbatore, India) - India	Carnair
ACW	Servicios Aereos Across, S.A. de C.V. - Mexico	Acro Jets
ADA	Airservices Australia, Flight Inspection Unit - Australia	Auscal
ADB	Antonov Design Bureau - Ukraine	Antonov Bureau
ADC	Ad Astra Executive Charter Sp. z.o.o. - Poland	Ad Astra
ADG	Aerea Flying Training Organization, S.A. - Spain	Aerea Training
ADI	Audeli Air Express - Spain	Audeli
ADK	Aviation Development Company Nigeria Limited - Nigeria	Adco
ADL	Aero Dynamics - United Kingdom	Cotswold
ADM	Air Dream College - Portugal	Dream College
ADN	Aerodienst GmbH & Co. Kg, Nuernberg - Germany	Aerodienst
ADO	Airdo Co., Ltd - Japan	Air Do
ADP	Aerodiplomatic, S.A. de C.V. - Mexico	Aerodiplomatic
ADR	Adria Airways - Slovenia	Adria
ADT	Arrendamientos y Transportes Turisticos, S.A. de C.V. - Mexico	Arrenda-Trans
ADV	Advanced Flight Training Ltd - United Kingdom	Advanced
ADY	Air Arabia Abu Dhabi - United Arab Emirates	Nawras
ADZ	Aviodelta - Bulgaria	Migrator
AEA	Air Europa - Spain	Europa
AEE	Aegean Airlines - Greece	Aegean
AEG	Airest - Estonia	Airest Cargo
AEH	Aero4M, D.O.O. - Slovenia	Vega
AEI	Air Poland Sp. z.o.o. - Poland	Polish Bird
AEJ	Aerojet Executive - Venezuela (Bolivarian Republic of)	Aerojet
AEK	Aerocon Ltda. - Bolivia (Plurinational State of)	Aerocon
AEL	Aegle Aviation (Aruba) N.V. - Netherlands	Rhombus
AEM	Aero Madrid - Spain	Aeromadrid
AEO	Avionco Ltd - -	Aero
AEP	Aerotec - Spain	Aerotec
AER	Alaska Central Express, Inc. (Fairbanks, AK) - United States	Ace Air
AES	Aerospace Engineering Services - Malta	Gemina
AET	Aeronautical Radio of Thailand Ltd - Thailand	Aerothai
AEU	Atlantis Armenian Airlines - Armenia	Atlantis
AEV	Aeroventas, S.A. - Mexico	Aeroventas
AEX	Aerohelix S. de R.L. de C.V. - Mexico	Aerox
AFA	Alfa Air - Czech Republic	Blue Alfa
AFB	Bulgarian Air Force - Bulgaria	Bulaf
AFC	Aerorutas del Sur C.A. - Venezuela (Bolivarian Republic of)	Aerorutas
AFE	Airfast Indonesia, Pt. - Indonesia	Airfast
AFG	Ariana Afghan Airlines - Afghanistan	Ariana
AFH	Air Afghanistan International - Afghanistan	Air Afghanistan
AFI	Africaone - Uganda	Africaworld
AFJ	Alliance - Uganda	Jambo
AFL	Aeroflot - Russian Airlines - Russian Federation	Aeroflot
AFM	Aerospeed Formation et Maintenance - France	Epic Air
AFN	Atlantsflug Ltd. - Iceland	Hekla
AFP	Portuguese Air Force - Portugal	Portuguese Air Force
AFQ	Alba Servizi Aerotrasporti SpA - Italy	Alba
AFR	Air France - France	Airfrans
AFW	Africa World Airlines Limited - Ghana	Blackstar
AFY	Africa Chartered Services - Nigeria	Africa Chartered
AGE	Aeromanage - Lithuania	Aeromanage
AGH	Altagna - France	Altagna
AGM	Aviation West Charters (Scottsdale, AZ) - United States	Angel Med
AGN	Compagnie Nationale Air Gabon - Gabon	Golf November
AGO	AAC-Angola Air Charter Limited - Angola	Angola Charter
AGP	Aerfi Group Plc - Ireland	Air Tara
AGT	Amadeus Global Travel Distribution S.A. - Spain	Amadeus
AGU	Angara Airlines JSC - Russian Federation	Sarma
AGV	Air Glaciers SA - Switzerland	Air Glaciers
AGY	Air Go Egypt - Egypt	Egyptian Bird
AHA	Air Alpha A/S - Denmark	Air Alpha
AHB	Air Alboran S.L. - Spain	Alhambra
AHD	Czech Air Handling - Czech Republic	Airhandling
AHE	Airport Helicopter Ahb AG - Switzerland	Airport Helicopter
AHF	Aspen Helicopters, Inc. (Oxnard, CA) - United States	Aspen
AHH	Airplanes Holdings Ltd - Ireland	Airhold
AHI	Servicios Aereos de Chihuahua Aerochisa, S.A. de C.V. - Mexico	Aerochisa
AHJ	Aviones y Helicopteros Ejecutivos, S.A. de C.V. - Mexico	Avycop
AHK	AHK Air Hong Kong Limited - China	Air Hong Kong
AHL	Aerolineas Hidalgo, S.A. de C.V. - Mexico	Hidalgo
AHM	Atlantis Helicopters de Mexico, S.A. de C.V. - Mexico	Heli Atlantis
AHO	Air Hamburg - Germany	Air Hamburg
AHS	AHS Air International (Pvt) Ltd - Pakistan	High Sky
AHT	HTA Helicopteros, Lda - Portugal	Heliapra
AHU	ABC Air Hungary Ltd - Hungary	ABC Hungary
AHW	Sky Capital Airlines Ltd. - Bangladesh	Sky Capital
AHX	Amakusa Airlines Co.,Ltd - Japan	Amakusa Air
AHY	Azerbaijan Hava Yollari, National Airline - Azerbaijan	Azal
AIA	Amelia - France	Amelia
AIB	Airbus Industrie - France	Airbus Industrie
AIC	Air India Limited - India	Airindia
AIE	Air Inuit Ltd. - Canada	Inuit
AIH	Air Incheon Co. Ltd - Republic of Korea	Air Incheon
AIJ	ABC Aerolineas, S.A. de C.V. - Mexico	ABC Aerolineas
AIK	African Airlines International Limited - Kenya	African Airlines
AIM	Trabajos Aereos Murcianos S.L. - Spain	Pijo
AIN	African International Airways (Pty) Ltd - South Africa	Fly Cargo
AIO	Chief of Staff, United States Air Force (Andrews AFB, MD) - United States	Air Chief
AIP	Alpine Aviation, Inc. (Provo, UT) - United States	Alpine Air
AIQ	Thai Air Asia Co., Ltd - Thailand	Thai Asia
AIR	Airlift International Inc. - United States	Airlift
AIS	Air Sureste - Spain	Sureste
AIT	Air Taurus LLC - Ukraine	Air Taurus
AIZ	Arkia Israel Inland Airlines - Israel	Arkia
AJA	Afghan Jet International Airlines - Afghanistan	Afghan Jet
AJB	American Jet S.A. - Argentina	Amjet
AJC	Bar Harbor Airlines (Bangor, ME) - United States	Bar Harbor
AJE	Aero Jet Express, S.A. de C.V. - Mexico	Jet Expres
AJH	Aeroaljarafe S.L. - Spain	Aljarafe
AJI	Ameristar Jet Charter, Inc. (Dallas, TX) - United States	Ameristar
AJJ	Avcon Jet Africa (Pty) Ltd. - South Africa	Avjet
AJK	Allied Air Limited - Nigeria	Bambi
AJM	Air Jamaica - Jamaica	Jamaica
AJN	Automotriz Baja Norte, S.A. de C.V. - Mexico	Bajante
AJO	Av8jet Charter - Malta	Aviate Jet
AJP	Anap Business Jets Limited - Nigeria	Anapjets
AJQ	Aerotecnica Jet Services, Inc. - Panama	Panajet
AJR	A-Jet Aviation Co. Ltd - Mongolia	Jet Mongolia
AJS	Aeroejecutivos, Aeroservicios Ejecutivos - Colombia	Aeroejecutivos
AJT	Amerijet International (Ft.Lauderdale, FL) - United States	Amerijet
AJU	Air Jetsul - Portugal	Airjetsul
AJV	Advance Aviation Jet Co., Ltd - Thailand	Lee Jet
AJW	Alpha Jet International (Sheffield, AL) - United States	Alphajet
AJX	Air Japan Co., Ltd - Japan	Air Japan
AJY	Ajwaa Airlines - Egypt	Ajwaa Airlines
AJZ	Anglo American South Africa Limited - South Africa	Anglo Jet
AKC	Asialink Cargo Express, Pt - Indonesia	Asialink Cargo
AKG	84 Sqn RAF Akrotiri - United Kingdom	Grifter
AKH	Akhal - Turkmenistan	Akhal
AKK	Sundt Air Management - Norway	Aker
AKL	Air Kiribati Limited - Kiribati	Air Kiribati
AKN	Alkan Air Ltd. - Canada	Alkan Air
AKP	Askari Air Pakistan - Pakistan	Askari Air
AKQ	Aerospace Consortium Ltd - Kenya	Moonlight
AKS	Airworks Kenya Limited - Kenya	Akel
AKT	Bradley Air Services D/B/A Canadian North - Canada	Arctic
AKW	Angkor Airways - Cambodia	Angkorways
AKX	Ana Wings Co., Ltd - Japan	Alfa Wing
AKY	Yak-Service - Russian Federation	Yak-Service
ALB	Aero Albatros - Mexico	Albatros
ALC	Southern Jersey Airways, Inc. (Atlantic City, NJ) - United States	Acom
ALD	Air Leisure - Egypt	Air Leisure
ALE	Alliance Executive Jets Ltd. - Malta	Alliance Malta
ALF	Allied Command Europe (Mobile Force) - Belgium	Aceforce
ALI	Airlift AS - Norway	Bluelift
ALK	Srilankan Airlines - Sri Lanka	Srilankan
